snapshot_date,week_start,project_id,equipment_type,commissioning_level,equipment_count,total_lines,completed_lines,open_lines,completion_pct,last_synced
2026-09-08,2026-09-07,39282,ACS,L1,98,1989,1338,651,67.27,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,ACS,L2,98,3430,1229,2201,35.83,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,ACS,L3,98,2548,0,2548,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,AHU,L1,7,147,147,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,AHU,L2,7,245,0,245,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,AHU,L3,7,182,0,182,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,AIS,L1,6,122,42,80,34.43,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,AIS,L2,6,210,0,210,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,AIS,L3,6,156,0,156,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,BMP,L1,26,528,434,94,82.2,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,BMP,L2,26,1222,656,566,53.68,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,BMP,L3,26,676,56,620,8.28,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,BSW,L1,56,1120,480,640,42.86,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,BSW,L2,56,1960,840,1120,42.86,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,BSW,L3,56,1456,0,1456,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CDU,L1,12,240,234,6,97.5,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CDU,L2,12,420,0,420,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CDU,L3,12,312,0,312,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CHL,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CHL,L2,8,280,56,224,20.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CHL,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CHP,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CHP,L2,8,280,0,280,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CHP,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CRA,L1,28,560,554,6,98.93,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CRA,L2,28,980,0,980,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CRA,L3,28,728,0,728,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CTS,L1,6,120,25,95,20.83,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CTS,L2,6,210,0,210,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,CTS,L3,6,156,0,156,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,DPP,L1,54,1104,1044,60,94.57,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,DPP,L2,54,2080,721,1359,34.66,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,DPP,L3,54,1404,0,1404,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,DSG,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,DSG,L2,8,592,592,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,DSG,L3,8,208,6,202,2.88,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EPP,L1,8,164,164,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EPP,L2,8,363,231,132,63.64,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EPP,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EXF,L1,20,400,365,35,91.25,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EXF,L2,20,700,0,700,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EXF,L3,20,520,0,520,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EXP,L1,6,122,42,80,34.43,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EXP,L2,6,210,0,210,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,EXP,L3,6,156,0,156,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,FWU,L1,16,336,321,15,95.54,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,FWU,L2,16,560,0,560,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,FWU,L3,16,416,0,416,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GDS,L1,2,40,0,40,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GDS,L2,2,70,0,70,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GDS,L3,2,52,0,52,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GDT,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GDT,L2,8,280,279,1,99.64,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GDT,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GEN,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GEN,L2,8,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GEN,L3,8,208,1,207,0.48,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GSB,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GSB,L2,8,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,GSB,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,LBG,L1,1,21,21,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,LBG,L2,1,35,35,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,LBG,L3,1,26,10,16,38.46,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MBC,L1,16,336,336,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MBC,L2,16,674,414,260,61.42,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MBC,L3,16,416,7,409,1.68,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MDP,L1,14,293,271,22,92.49,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MDP,L2,14,793,612,181,77.18,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MDP,L3,14,364,7,357,1.92,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MSB,L1,10,210,210,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MSB,L2,10,672,671,1,99.85,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MSB,L3,10,260,56,204,21.54,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MUP,L1,4,80,0,80,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MUP,L2,4,140,0,140,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,MUP,L3,4,104,0,104,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,OAF,L1,30,630,630,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,OAF,L2,30,1050,108,942,10.29,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,OAF,L3,30,780,0,780,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAC,L1,4,84,84,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAC,L2,4,140,0,140,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAC,L3,4,104,0,104,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAS,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAS,L2,8,280,0,280,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PAS,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PLC,L1,1,20,19,1,95.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PLC,L2,1,35,0,35,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,PLC,L3,1,26,0,26,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,RPP,L1,16,320,320,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,RPP,L2,16,560,0,560,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,RPP,L3,16,416,0,416,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,STS,L1,24,480,480,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,STS,L2,24,840,7,833,0.83,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,STS,L3,24,624,0,624,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,39282,TES,L1,18,360,120,240,33.33,2026-09-08T13:35:08.662975+00:00
