snapshot_date,week_start,project_id,asset_key,asset_name,asset_type,commissioning_level,checklist_count,checklist_ids,checklist_statuses,total_lines,completed_lines,open_lines,completion_pct,last_synced
2026-09-13,2026-09-07,39282,10988295,EDCKUL21VRF02600,equipment,L1,1,21904986,Reviewed,21,21,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,10988295,EDCKUL21VRF02600,equipment,L2,1,25157842,Not Started,35,9,26,25.71,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,10988295,EDCKUL21VRF02600,equipment,L3,1,25157843,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095312,EDCKUL21TESA0100,equipment,L1,1,25158285,Reviewed,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095312,EDCKUL21TESA0100,equipment,L2,1,25158286,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095312,EDCKUL21TESA0100,equipment,L3,1,25158287,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095313,EDCKUL21TESA0200,equipment,L1,1,25158291,Reviewed,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095313,EDCKUL21TESA0200,equipment,L2,1,25158292,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095313,EDCKUL21TESA0200,equipment,L3,1,25158293,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095314,EDCKUL21TESA0300,equipment,L1,1,25158297,Reviewed,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095314,EDCKUL21TESA0300,equipment,L2,1,25158298,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095314,EDCKUL21TESA0300,equipment,L3,1,25158299,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095315,EDCKUL21TESA0400,equipment,L1,1,25158303,Reviewed,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095315,EDCKUL21TESA0400,equipment,L2,1,25158304,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095315,EDCKUL21TESA0400,equipment,L3,1,25158305,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095316,EDCKUL21TESA0500,equipment,L1,1,25158309,Reviewed,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095316,EDCKUL21TESA0500,equipment,L2,1,25158310,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095316,EDCKUL21TESA0500,equipment,L3,1,25158311,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095317,EDCKUL21TESA0600,equipment,L1,1,25158315,Reviewed,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095317,EDCKUL21TESA0600,equipment,L2,1,25158316,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11095317,EDCKUL21TESA0600,equipment,L3,1,25158317,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604941,EDCKUL21CDUA0107,equipment,L1,1,25158347,In Progress,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604941,EDCKUL21CDUA0107,equipment,L2,1,25158348,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604941,EDCKUL21CDUA0107,equipment,L3,1,25158349,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604942,EDCKUL21CDUA0207,equipment,L1,1,25158350,In Progress,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604942,EDCKUL21CDUA0207,equipment,L2,1,25158351,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604942,EDCKUL21CDUA0207,equipment,L3,1,25158352,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604943,EDCKUL21CDUA0307,equipment,L1,1,25158353,In Progress,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604943,EDCKUL21CDUA0307,equipment,L2,1,25158354,Not Started,35,0,35,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604943,EDCKUL21CDUA0307,equipment,L3,1,25158355,Not Started,26,0,26,0.0,2026-09-12T20:10:25.613305+00:00
2026-09-13,2026-09-07,39282,11604944,EDCKUL21CDUA0407,equipment,L1,1,25158356,In Progress,20,20,0,100.0,2026-09-12T20:10:25.613305+00:00
