project_id,equipment_id,name,type,discipline,building,floor,space,status,area_type,equipment_supplier,floor,installing_contractor,location,logistics_category_1,manufacturer,model_name,model_number,phase,serial_number,tranche,vendor,systems,no_tag_date,no_tag_person,l1_red_tag_date,l1_red_tag_person,conditional_yellow_tag_date,conditional_yellow_tag_person,l2_yellow_tag_date,l2_yellow_tag_person,energized_date,energized_person,l3_green_tag_date,l3_green_tag_person,l4_blue_tag_date,l4_blue_tag_person,l5_white_tag_date,l5_white_tag_person,current_stage,current_stage_date,current_stage_person,last_synced
39282,8742476,EDCKUL21ACS015A0,ACS,Mechanical,,,MEETING ROOM 1,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Conference Room,MRC,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-30HJFKA,,QCKASN2Z901E,1,Chen Guan,Block AH,2025-04-25 02:55:42,Nur Syakira Amira,2026-08-13 02:14:44,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-13 02:14:44,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,13450401,EDCKUL21ACS015B0,ACS,Mechanical,,,MEETING ROOM 2,NO TAG,IT,Promatrix DCS,,Promatrix DCS,,,,,,,,1,Chen Guan,Block AH,2026-07-15 03:04:10,Nadhirah Mazlan,,,,,,,,,,,,,,,No Tag,2026-07-15 03:04:10,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,13450404,EDCKUL21ACS016A0,ACS,Mechanical,,,HUDDLE ROOM 3,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Huddle Room 3,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z9009,1,Chen Guan,Block AH,2026-07-15 03:10:49,Nadhirah Mazlan,2026-08-27 04:01:13,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 04:01:13,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,13450405,EDCKUL21ACS016B0,ACS,Mechanical,,,HUDDLE ROOM 4,L1 RED TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Huddle Room 4,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-09HJFKA,,QCKAKN3Z900T,1,Chen Guan,Block AH,2026-07-15 03:11:51,Nadhirah Mazlan,2026-08-27 04:02:14,Nadhirah Mazlan,,,,,,,,,,,,,L1 Red Tag,2026-08-27 04:02:14,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,13450406,EDCKUL21ACS017A0,ACS,Mechanical,,,ECX STORAGE,ENERGIZED,IT,Promatrix DCS,,Promatrix DCS,3F - ECX Storage 01,,Hisense,Multi-Split 4-Way Cassette Type Unit,AVBC-15HJFKA,,QCKAMN3Z900Y,1,Chen Guan,Block AH,2026-07-15 03:12:53,Nadhirah Mazlan,2026-08-18 06:09:09,Aaron Asir,,,2026-08-26 03:47:04,Nadhirah Mazlan,2026-09-07 11:45:40,Nadhirah Mazlan,,,,,,,Energized,2026-09-07 11:45:40,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742445,EDCKUL21ACS01210,ACS,Mechanical,,,BATTERY ROOM AA,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Battery Room AA,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05B1QJ2 0007,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:51:12,Nadhirah Mazlan,,,2026-09-07 09:52:19,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 09:52:19,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742446,EDCKUL21ACS01220,ACS,Mechanical,,,BATTERY ROOM AB,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Battery Room AB,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 04L0BJ2 0059,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:51:18,Nadhirah Mazlan,,,2026-09-07 09:54:38,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 09:54:38,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742447,EDCKUL21ACS01230,ACS,Mechanical,,,BATTERY ROOM AC,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - Battery Room AC,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05A0CJ2 0006,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:51:25,Nadhirah Mazlan,,,2026-09-07 09:56:45,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 09:56:45,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742448,EDCKUL21ACS01240,ACS,Mechanical,,,MMR 01,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - MMR 1,,Hisense,AVS,AVS-24HJFTDD,,VKA071 0002NP 0BF35J2 0015,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:51:29,Nadhirah Mazlan,,,2026-09-07 11:23:30,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:23:30,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
39282,8742449,EDCKUL21ACS01250,ACS,Mechanical,,,ITR & SER 01,L2 YELLOW TAG,IT,Promatrix DCS,,Promatrix DCS,2F - ITR 01,,Hisense,AVS,AVS-28HJFTDD,,VKA080 0002NP 05B1QJ2 0001,1,Chen Guan,Block AH,2026-07-20 00:50:57,Muhammad Syamin Afiq,2026-07-20 04:51:32,Nadhirah Mazlan,,,2026-09-07 11:25:18,Nadhirah Mazlan,,,,,,,,,L2 Yellow Tag,2026-09-07 11:25:18,Nadhirah Mazlan,2026-09-12T20:09:40.124047+00:00
